Age,Gender,Education Level,Job Title,Years of Experience,Salary
1.2347864327019271,1.0,3.0,14.0,1.3142422427536198,0.8483690064605567
-0.0834288558246222,0.0,0.0,35.0,-0.3492971397552482,-0.007598767079346722
-1.1380010866458616,1.0,0.0,73.0,-1.1810668310096821,-1.148889131799218
-0.478893442382587,0.0,0.0,12.0,-0.515651078006135,0.5630464152805889
0.8393218461439623,0.0,0.0,32.0,1.3142422427536198,1.8945518407871054
1.498429490407237,1.0,2.0,82.0,0.8151804280009594,0.2777238241006211
-0.21525038467727714,1.0,0.0,144.0,-0.016589263253474595,1.4190141888204924
-0.478893442382587,0.0,2.0,131.0,-0.3492971397552482,-0.14253733120139284
-0.8743580289405518,0.0,2.0,40.0,-0.8483589545079085,-1.2439966621925405
-0.7425365000878968,1.0,0.0,34.0,-1.0147128927587954,-0.8635665406192501
-1.2698226154985166,0.0,0.0,154.0,-1.1810668310096821,-1.4342117229791858
1.498429490407237,1.0,3.0,14.0,1.8133040575062802,1.4190141888204924
0.18021420188068768,1.0,0.0,34.0,0.316118613248299,0.2586832965158779
-0.0834288558246222,0.0,0.0,42.0,-0.016589263253474595,-0.3880288886526371
-0.610714971235242,1.0,0.0,131.0,-0.3492971397552482,-0.510679559847866
-0.478893442382587,0.0,2.0,131.0,-0.515651078006135,-0.2599570882249889
0.5756787884386525,1.0,2.0,81.0,0.9815343662518462,1.5141217192138148
0.9711433749966173,1.0,3.0,131.0,0.8151804280009594,1.3239066584271697
-0.0834288558246222,0.0,2.0,89.0,0.4824725514991858,1.5711862374498085
0.7075003172913075,1.0,2.0,113.0,0.316118613248299,-0.19781382786599191
-0.7425365000878968,1.0,0.0,144.0,-0.6820050162570218,-0.7684590102259276
0.44385725958599753,0.0,2.0,82.0,0.316118613248299,-0.10270629747266932
-0.7425365000878968,1.0,0.0,63.0,-1.0978898618842388,-1.5293192533725084
-1.0061795577932067,0.0,2.0,40.0,-0.8483589545079085,-1.2439966621925405
-0.21525038467727714,1.0,0.0,65.0,-0.6820050162570218,-0.9586740710125727
1.630251019259892,1.0,3.0,131.0,0.9815343662518462,1.228799128033847
0.04839267302803273,0.0,0.0,42.0,0.1497646749974122,-0.311942864337979
-0.34707191352993205,1.0,0.0,86.0,-0.3492971397552482,-0.7684590102259276
-0.21525038467727714,1.0,2.0,23.0,-0.3492971397552482,-0.3880288886526371
1.630251019259892,1.0,3.0,23.0,1.147888304502733,0.6581539456739115
0.04839267302803273,1.0,2.0,139.0,0.1497646749974122,-0.19781382786599191
0.7075003172913075,1.0,2.0,113.0,0.1497646749974122,-0.3880288886526371
-0.610714971235242,1.0,0.0,144.0,-0.6820050162570218,-0.9586740710125727
-0.34707191352993205,1.0,0.0,144.0,-0.515651078006135,-0.6733514798326049
-0.0834288558246222,1.0,0.0,154.0,-0.515651078006135,-0.8635665406192501
-0.34707191352993205,1.0,1.0,58.0,-1.0147128927587954,-1.5293192533725084
0.18021420188068768,1.0,0.0,2.0,-0.016589263253474595,0.46793888488726626
-1.2698226154985166,1.0,0.0,2.0,-1.1810668310096821,-1.148889131799218
0.3120357307333426,0.0,3.0,82.0,0.1497646749974122,-0.3880288886526371
-0.7425365000878968,0.0,2.0,2.0,-0.8483589545079085,-0.4831364190459597
-0.478893442382587,1.0,0.0,144.0,-0.6820050162570218,-0.9586740710125727
-0.478893442382587,1.0,2.0,31.0,-0.3492971397552482,-0.29292135825931453
-0.478893442382587,0.0,0.0,98.0,-0.515651078006135,-0.4831364190459597
-1.0061795577932067,1.0,0.0,143.0,-1.0147128927587954,-1.0537816014058954
-0.7425365000878968,1.0,0.0,154.0,-0.6820050162570218,-0.9586740710125727
1.762072548112547,1.0,3.0,14.0,1.8133040575062802,1.4190141888204924
1.893894076965202,1.0,3.0,20.0,1.6469501192553933,1.7994443103937827
-1.4016441443511716,0.0,0.0,144.0,-1.1810668310096821,-1.2439966621925405
-0.7425365000878968,0.0,0.0,34.0,-0.8483589545079085,-0.6733514798326049
-1.6652872020564815,0.0,1.0,69.0,-1.3474207692605689,-1.7195343141591535
-0.21525038467727714,1.0,0.0,89.0,-0.18294320150436139,0.08750876331397588
-1.2698226154985166,1.0,0.0,31.0,-1.1810668310096821,-1.148889131799218
-1.0061795577932067,1.0,0.0,143.0,-1.0147128927587954,-1.0537816014058954
1.762072548112547,1.0,3.0,139.0,0.9815343662518462,1.1336915976405244
1.2347864327019271,1.0,2.0,139.0,1.8133040575062802,1.3239066584271697
